"id","sp","rep","site","ind","twig","treatcode","warm","photo","chill","position","gen","row","col"
"ACESAC02_HF_11","ACESAC","02","HF","ACESAC02_HF","11","WL1","warm","long","chill1",9,"ACE",1,2
"VIBLAN02_SH_12","VIBLAN","02","SH","VIBLAN02_SH","12","WL1","warm","long","chill1",9,"VIB",1,2
"POPGRA02_HF_02","POPGRA","02","HF","POPGRA02_HF","02","WL1","warm","long","chill1",10,"POP",2,2
"ACERUB05_SH_03","ACERUB","05","SH","ACERUB05_SH","03","WL1","warm","long","chill1",10,"ACE",2,2
"VIBCAS02_HF_04","VIBCAS","02","HF","VIBCAS02_HF","04","WL1","warm","long","chill1",11,"VIB",3,2
"FAGGRA09_HF_04","FAGGRA","09","HF","FAGGRA09_HF","04","WL1","warm","long","chill1",11,"FAG",3,2
"ILEMUC04_SH_09","ILEMUC","04","SH","ILEMUC04_SH","09","WL1","warm","long","chill1",12,"ILE",4,2
"BETALL10_SH_12","BETALL","10","SH","BETALL10_SH","12","WL1","warm","long","chill1",12,"BET",4,2
"VIBCAS10_HF_11","VIBCAS","10","HF","VIBCAS10_HF","11","WL1","warm","long","chill1",13,"VIB",5,2
"POPGRA05_SH_12","POPGRA","05","SH","POPGRA05_SH","12","WL1","warm","long","chill1",13,"POP",5,2
"VIBLAN10_HF_05","VIBLAN","10","HF","VIBLAN10_HF","05","WL1","warm","long","chill1",14,"VIB",6,2
"BETPAP06_HF_12","BETPAP","06","HF","BETPAP06_HF","12","WL1","warm","long","chill1",14,"BET",6,2
"POPGRA05_HF_02","POPGRA","05","HF","POPGRA05_HF","02","WL1","warm","long","chill1",15,"POP",7,2
"ACERUB09_SH_02","ACERUB","09","SH","ACERUB09_SH","02","WL1","warm","long","chill1",15,"ACE",7,2
"ACEPEN12_HF_05","ACEPEN","12","HF","ACEPEN12_HF","05","WL1","warm","long","chill1",16,"ACE",8,2
"POPGRA02_SH_06","POPGRA","02","SH","POPGRA02_SH","06","WL1","warm","long","chill1",16,"POP",8,2
"ACESAC06_HF_09","ACESAC","06","HF","ACESAC06_HF","09","WL1","warm","long","chill1",17,"ACE",1,3
"VIBLAN04_SH_11","VIBLAN","04","SH","VIBLAN04_SH","11","WL1","warm","long","chill1",17,"VIB",1,3
"FAGGRA13_HF_05","FAGGRA","13","HF","FAGGRA13_HF","05","WL1","warm","long","chill1",18,"FAG",2,3
"VIBLAN06_SH_11","VIBLAN","06","SH","VIBLAN06_SH","11","WL1","warm","long","chill1",18,"VIB",2,3
"ILEMUC05_HF_12","ILEMUC","05","HF","ILEMUC05_HF","12","WL1","warm","long","chill1",19,"ILE",3,3
"QUERUB16_HF_06","QUERUB","16","HF","QUERUB16_HF","06","WL1","warm","long","chill1",19,"QUE",3,3
"BETALL20_HF_06","BETALL","20","HF","BETALL20_HF","06","WL1","warm","long","chill1",20,"BET",4,3
"ACEPEN01_HF_05","ACEPEN","01","HF","ACEPEN01_HF","05","WL1","warm","long","chill1",20,"ACE",4,3
"ILEMUC04_HF_09","ILEMUC","04","HF","ILEMUC04_HF","09","WL1","warm","long","chill1",21,"ILE",5,3
"POPGRA06_HF_06","POPGRA","06","HF","POPGRA06_HF","06","WL1","warm","long","chill1",21,"POP",5,3
"ACEPEN04_HF_02","ACEPEN","04","HF","ACEPEN04_HF","02","WL1","warm","long","chill1",22,"ACE",6,3
"QUERUB15_HF_07","QUERUB","15","HF","QUERUB15_HF","07","WL1","warm","long","chill1",22,"QUE",6,3
"ACESAC99_HF_01","ACESAC","99","HF","ACESAC99_HF","01","WL1","warm","long","chill1",23,"ACE",7,3
"ILEMUC06_SH_09","ILEMUC","06","SH","ILEMUC06_SH","09","WL1","warm","long","chill1",23,"ILE",7,3
"BETPAP08_SH_11","BETPAP","08","SH","BETPAP08_SH","11","WL1","warm","long","chill1",24,"BET",8,3
"ACESAC99_SH_05","ACESAC","99","SH","ACESAC99_SH","05","WL1","warm","long","chill1",24,"ACE",8,3
"VIBCAS04_SH_02","VIBCAS","04","SH","VIBCAS04_SH","02","WL1","warm","long","chill1",25,"VIB",1,4
"BETPAP07_SH_10","BETPAP","07","SH","BETPAP07_SH","10","WL1","warm","long","chill1",25,"BET",1,4
"BETPAP09_HF_05","BETPAP","09","HF","BETPAP09_HF","05","WL1","warm","long","chill1",26,"BET",2,4
"POPGRA08_SH_08","POPGRA","08","SH","POPGRA08_SH","08","WL1","warm","long","chill1",26,"POP",2,4
"ACERUB99_HF_12","ACERUB","99","HF","ACERUB99_HF","12","WL1","warm","long","chill1",27,"ACE",3,4
"FAGGRA05_SH_12","FAGGRA","05","SH","FAGGRA05_SH","12","WL1","warm","long","chill1",27,"FAG",3,4
"ACEPEN07_SH_06","ACEPEN","07","SH","ACEPEN07_SH","06","WL1","warm","long","chill1",28,"ACE",4,4
"BETALL10_HF_08","BETALL","10","HF","BETALL10_HF","08","WL1","warm","long","chill1",28,"BET",4,4
"BETPAP06_SH_04","BETPAP","06","SH","BETPAP06_SH","04","WL1","warm","long","chill1",29,"BET",5,4
"ACESAC03_SH_06","ACESAC","03","SH","ACESAC03_SH","06","WL1","warm","long","chill1",29,"ACE",5,4
"POPGRA03_HF_09","POPGRA","03","HF","POPGRA03_HF","09","WL1","warm","long","chill1",30,"POP",6,4
"ACESAC07_SH_08","ACESAC","07","SH","ACESAC07_SH","08","WL1","warm","long","chill1",30,"ACE",6,4
"VIBLAN05_SH_05","VIBLAN","05","SH","VIBLAN05_SH","05","WL1","warm","long","chill1",31,"VIB",7,4
"FAGGRA06_SH_04","FAGGRA","06","SH","FAGGRA06_SH","04","WL1","warm","long","chill1",31,"FAG",7,4
"ACERUB06_SH_07","ACERUB","06","SH","ACERUB06_SH","07","WL1","warm","long","chill1",32,"ACE",8,4
"QUERUB05_SH_07","QUERUB","05","SH","QUERUB05_SH","07","WL1","warm","long","chill1",32,"QUE",8,4
"ACEPEN03_HF_12","ACEPEN","03","HF","ACEPEN03_HF","12","WL1","warm","long","chill1",33,"ACE",1,5
"ILEMUC07_HF_11","ILEMUC","07","HF","ILEMUC07_HF","11","WL1","warm","long","chill1",33,"ILE",1,5
"ILEMUC03_HF_03","ILEMUC","03","HF","ILEMUC03_HF","03","WL1","warm","long","chill1",34,"ILE",2,5
"BETPAP13_HF_04","BETPAP","13","HF","BETPAP13_HF","04","WL1","warm","long","chill1",34,"BET",2,5
"VIBLAN04_HF_02","VIBLAN","04","HF","VIBLAN04_HF","02","WL1","warm","long","chill1",35,"VIB",3,5
"ACESAC02_SH_07","ACESAC","02","SH","ACESAC02_SH","07","WL1","warm","long","chill1",35,"ACE",3,5
"QUERUB21_HF_02","QUERUB","21","HF","QUERUB21_HF","02","WL1","warm","long","chill1",36,"QUE",4,5
"VIBCAS05_SH_12","VIBCAS","05","SH","VIBCAS05_SH","12","WL1","warm","long","chill1",36,"VIB",4,5
"ILEMUC07_SH_08","ILEMUC","07","SH","ILEMUC07_SH","08","WL1","warm","long","chill1",37,"ILE",5,5
"QUERUB07_SH_03","QUERUB","07","SH","QUERUB07_SH","03","WL1","warm","long","chill1",37,"QUE",5,5
"BETALL03_SH_10","BETALL","03","SH","BETALL03_SH","10","WL1","warm","long","chill1",38,"BET",6,5
"VIBLAN11_HF_02","VIBLAN","11","HF","VIBLAN11_HF","02","WL1","warm","long","chill1",38,"VIB",6,5
"VIBLAN09_SH_09","VIBLAN","09","SH","VIBLAN09_SH","09","WL1","warm","long","chill1",39,"VIB",7,5
"POPGRA01_SH_12","POPGRA","01","SH","POPGRA01_SH","12","WL1","warm","long","chill1",39,"POP",7,5
"FAGGRA14_HF_09","FAGGRA","14","HF","FAGGRA14_HF","09","WL1","warm","long","chill1",40,"FAG",8,5
"POPGRA07_HF_05","POPGRA","07","HF","POPGRA07_HF","05","WL1","warm","long","chill1",40,"POP",8,5
